                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                  1.257,                 1.2133,                 1.4411,                0.84065,                0.73271,                 0.8384,                0.55297,                 1.1919,                0.99725,                 1.3734,               0.005743,               0.005743,               0.005743
                    132,                 1.2339,                 1.2127,                 1.4324,                0.82362,                0.76775,                0.84443,                0.56092,                 1.1853,                0.97766,                 1.3719,                0.00571,                0.00571,                0.00571
                    133,                 1.2422,                 1.2115,                 1.4367,                0.80536,                0.76108,                0.84286,                 0.5576,                 1.1897,                0.98709,                 1.3711,               0.005677,               0.005677,               0.005677
                    134,                 1.2252,                  1.208,                 1.4256,                0.81652,                0.76429,                0.84033,                0.56045,                 1.1883,                0.98346,                 1.3675,               0.005644,               0.005644,               0.005644
                    135,                 1.2368,                 1.2146,                 1.4361,                0.81731,                0.75274,                0.83803,                0.56155,                 1.1891,                0.98539,                 1.3694,               0.005611,               0.005611,               0.005611
                    136,                 1.2257,                 1.2069,                 1.4246,                 0.8106,                0.76942,                0.84334,                0.55909,                 1.2028,                0.99104,                 1.3789,               0.005578,               0.005578,               0.005578
                    137,                 1.2394,                 1.2032,                 1.4341,                0.82375,                0.75495,                0.84479,                0.56308,                 1.1841,                0.98646,                 1.3662,               0.005545,               0.005545,               0.005545
                    138,                 1.2393,                 1.1989,                 1.4246,                0.82497,                0.74164,                0.83158,                0.56168,                 1.1921,                0.97656,                 1.3713,               0.005512,               0.005512,               0.005512
                    139,                 1.2345,                 1.2102,                 1.4271,                0.80825,                0.77438,                0.83392,                0.55861,                 1.1838,                0.97316,                 1.3665,               0.005479,               0.005479,               0.005479
                    140,                 1.2204,                 1.2032,                 1.4187,                0.80435,                0.77189,                0.84157,                0.56169,                 1.1818,                0.96971,                 1.3682,               0.005446,               0.005446,               0.005446
                    141,                 1.2259,                 1.1883,                 1.4209,                0.82687,                0.74588,                0.83218,                0.56176,                 1.1888,                0.97081,                 1.3723,               0.005413,               0.005413,               0.005413
                    142,                  1.215,                 1.1726,                 1.4123,                0.82113,                0.75191,                0.83218,                0.56173,                 1.1842,                0.96269,                 1.3667,                0.00538,                0.00538,                0.00538
                    143,                 1.2159,                 1.1674,                 1.4043,                0.82004,                 0.7571,                0.83037,                0.56066,                 1.1862,                0.95715,                 1.3648,               0.005347,               0.005347,               0.005347
                    144,                 1.2215,                 1.1832,                 1.4171,                0.77832,                0.77171,                0.83655,                0.57001,                 1.1833,                0.94754,                 1.3622,               0.005314,               0.005314,               0.005314
                    145,                 1.2191,                 1.1758,                 1.4214,                0.83671,                  0.738,                0.83543,                0.56346,                 1.1879,                 0.9571,                 1.3679,               0.005281,               0.005281,               0.005281
