                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.2714,                 1.2716,                 1.4713,                0.79964,                0.76941,                0.84188,                0.55504,                  1.212,                  1.001,                 1.4222,               0.005776,               0.005776,               0.005776
                    131,                 1.2652,                 1.2512,                 1.4693,                0.82766,                0.76171,                0.84845,                0.56781,                 1.2208,                0.99575,                 1.4302,               0.005743,               0.005743,               0.005743
                    132,                  1.246,                 1.2278,                 1.4497,                0.84053,                0.74844,                0.84379,                0.56809,                 1.2202,                0.99434,                  1.424,                0.00571,                0.00571,                0.00571
                    133,                 1.2666,                 1.2525,                 1.4649,                0.83352,                 0.7515,                0.84437,                0.56666,                 1.2152,                0.99932,                  1.418,               0.005677,               0.005677,               0.005677
                    134,                 1.2443,                 1.2422,                 1.4509,                0.81485,                0.78006,                0.84495,                0.56955,                  1.203,                0.99515,                 1.4099,               0.005644,               0.005644,               0.005644
                    135,                 1.2621,                 1.2451,                 1.4595,                0.84479,                0.76311,                 0.8486,                0.57361,                 1.2072,                0.99035,                  1.409,               0.005611,               0.005611,               0.005611
                    136,                 1.2532,                 1.2406,                 1.4509,                0.85236,                 0.7602,                0.85202,                0.57338,                 1.2086,                0.98195,                 1.4127,               0.005578,               0.005578,               0.005578
                    137,                 1.2297,                 1.2213,                 1.4423,                0.84497,                0.76757,                0.84731,                 0.5718,                 1.2087,                0.98265,                 1.4142,               0.005545,               0.005545,               0.005545
                    138,                 1.2523,                 1.2249,                 1.4481,                0.83593,                 0.7719,                0.84887,                0.57846,                 1.2025,                0.97715,                 1.4102,               0.005512,               0.005512,               0.005512
                    139,                 1.2527,                 1.2403,                 1.4601,                0.83863,                0.75925,                 0.8475,                0.57393,                 1.2022,                0.98429,                 1.4132,               0.005479,               0.005479,               0.005479
                    140,                 1.2491,                 1.2211,                 1.4547,                0.82797,                0.76511,                0.83858,                0.56709,                 1.2054,                0.98806,                   1.41,               0.005446,               0.005446,               0.005446
                    141,                 1.2451,                 1.2211,                 1.4552,                0.85345,                0.74572,                0.84101,                0.57038,                 1.1999,                0.97854,                 1.4062,               0.005413,               0.005413,               0.005413
                    142,                 1.2396,                 1.2228,                 1.4489,                0.83385,                 0.7834,                0.84929,                0.57636,                 1.1999,                0.97183,                 1.4122,                0.00538,                0.00538,                0.00538
                    143,                 1.2359,                 1.2041,                 1.4426,                0.83198,                0.78111,                0.84944,                0.57636,                 1.1934,                0.97579,                 1.4022,               0.005347,               0.005347,               0.005347
